ID,Demoulding Age,Curing Type,Curing Duration,Preconditioning Duration,Preconditioning Temperature,Preconditioning RH,Preconditioning CO2,Standard Conditions
1,,,7,,,,,
2,,,7,,,,,
3,,,7,,,,,
4,,,7,,,,,
5,,,7,,,,,
6,,,7,,,,,
7,,,7,,,,,
8,,,7,,,,,
9,,,7,,,,,
10,,,7,,,,,
11,,,7,,,,,
12,,,7,,,,,
13,,,7,,,,,
14,,,7,,,,,
15,,,7,,,,,
16,,,7,,,,,
17,,,7,,,,,
18,,,7,,,,,
19,,,7,,,,,
20,,,7,,,,,
21,,,7,,,,,
22,,,7,,,,,
23,,,7,,,,,
24,,,7,,,,,
25,,,7,,,,,
26,,,7,,,,,
27,,,7,,,,,
28,,,7,,,,,
29,,,7,,,,,
30,,,7,,,,,
31,,,7,,,,,
32,,,7,,,,,
33,,,7,,,,,
34,,,7,,,,,
35,,,7,,,,,
36,,,7,,,,,
37,,,7,,,,,
38,,,7,,,,,
39,,,7,,,,,
40,,,7,,,,,
41,,,7,,,,,
42,,,7,,,,,
43,,,7,,,,,
44,,,7,,,,,
45,,,7,,,,,
46,,,7,,,,,
47,,,7,,,,,
48,,,7,,,,,
49,,,7,,,,,
50,,,7,,,,,
51,,,7,,,,,
52,,,7,,,,,
53,,,7,,,,,
54,,,7,,,,,
55,,,7,,,,,
56,,,7,,,,,
57,,,7,,,,,
58,1,,1,27,20,70,,
59,1,,1,27,20,70,,
60,1,,7,21,20,70,,
61,1,,7,21,20,70,,
62,1,,28,14,20,70,,
63,1,,28,14,20,70,,
64,1,,7,21,20,70,,
65,1,,28,14,20,70,,
66,1,,7,,,,,
67,1,,7,,,,,
68,1,,7,,,,,
69,1,,7,,,,,
70,1,,7,,,,,
71,1,,7,,,,,
72,1,,7,,,,,
73,1,,7,,,,,
74,1,,7,,,,,
75,1,,7,,,,,
76,1,,7,,,,,
77,1,,7,,,,,
78,1,,7,,,,,
79,1,,7,,,,,
80,1,,7,,,,,
81,1,,7,,,,,
82,1,,7,,,,,
83,1,,7,,,,,
84,1,,7,,,,,
86,1,,7,,,,,
87,1,,7,,,,,
88,1,,7,,,,,
89,1,,1,27,20,70,,
90,1,,1,27,20,70,,
91,1,,1,27,20,70,,
92,1,,7,21,20,70,,
93,1,,7,21,20,70,,
94,1,,28,14,20,70,,
95,1,,28,14,20,70,,
96,1,,7,,20,,,
97,1,,7,,20,,,
98,1,,7,,20,,,
99,,,1,6,20,98,,
100,,,1,27,20,100,,
101,,,1,6,20,,,
102,,,1,27,20,,,
103,1,,7,,,,,
104,1,,7,,,,,
105,1,,7,,,,,
106,1,,7,21,20,70,,
107,1,,28,14,20,70,,
108,1,,1,27,20,70,,
109,1,,1,27,20,70,,
110,1,,1,27,20,70,,
111,1,,7,21,20,70,,
112,1,,7,21,20,70,,
113,1,,28,14,20,70,,
114,1,,28,14,20,70,,
115,1,,28,14,20,70,,
116,1,,28,14,20,70,,
117,1,,1,27,20,70,,
118,1,,1,27,20,70,,
119,1,,1,27,20,70,,
120,1,,7,21,20,70,,
121,1,,7,21,20,70,,
122,1,,7,21,20,70,,
123,1,,28,14,20,70,,
124,1,,28,14,20,70,,
125,1,,28,14,20,70,,
126,1,,28,14,20,70,,
127,1,,1,27,20,70,,
128,1,,1,27,20,70,,
129,1,,7,21,20,70,,
130,1,,7,21,20,70,,
131,1,,7,21,20,70,,
132,1,,28,14,20,70,,
133,1,,28,14,20,70,,
134,1,,28,14,20,70,,
135,1,,1,27,20,70,,
136,1,,1,27,20,70,,
137,1,,7,21,20,70,,
138,1,,7,21,20,70,,
139,1,,7,21,20,70,,
140,1,,7,21,20,70,,
141,1,,28,14,20,70,,
142,1,,28,14,20,70,,
143,1,,1,27,20,70,,
144,1,,1,27,20,70,,
145,1,,1,27,20,70,,
146,1,,7,21,20,70,,
147,1,,7,21,20,70,,
148,1,,7,21,20,70,,
149,1,,28,14,20,70,,
150,1,,28,14,20,70,,
151,1,,28,14,20,70,,
152,1,,1,27,20,70,,
153,1,,1,27,20,70,,