ID,Time [a],Depth average [mm],Depth deviation [mm]
1,56,2.3,0.4531
2,56,3,1.146
3,56,3.5,1.204
4,56,4.2,1.1088
5,56,4.9,1.1515
6,56,0.7,0.567
7,56,1.8,0.5922
8,56,2.1,1.0521
9,56,3.4,1.054
10,56,3.8,1.3072
11,56,2.5,1.0075
12,56,3.1,0.9021
13,56,5.4,1.458
14,56,3.8,1.3908
15,56,5.5,1.771
16,56,6.8,1.9312
17,56,8.8,1.7336
18,56,11.9,2.9155
19,14,0.3,0.3
19,28,0.2,0.2
19,56,0.8,0.2
19,140,1.2,0.5
19,280,2.7,0.8
19,547,3.5,0.9
20,14,0.2,0.2
20,28,0.4,0.2
20,56,0.4,0.2
20,140,1.2,0.2
20,280,2.4,0.7
20,547,2.8,0.8
21,14,0.2,0.1
21,28,0.4,0.2
21,56,0.3,0.2
21,140,1.6,0.5
21,280,2.7,0.9
22,14,0.2,0.1
22,28,1.1,0.3
22,56,1.1,0.6
22,140,2.5,0.7
22,280,3.7,0.9
23,28,0.3,0.1
23,56,0.3,0.2
23,140,1,0.2
23,280,1.1,0.5
24,14,0.2,0.2
24,28,0.5,0.4
24,56,0.6,0.6
24,140,1.9,0.6
24,280,2.5,0.5
24,547,3.2,0.7
25,56,0.5,0.3
25,140,1.7,0.3
25,280,2.5,0.5
25,547,3.6,0.5
26,28,0.7,0.3
26,56,0.6,0.5
26,98,1.2,0.3
26,140,1.5,0.4
26,210,2.2,0.5
26,240,2.2,0.2
27,28,0.7,0.3
27,56,0.6,0.5
27,98,2.1,0.6
27,140,2,0.8
27,180,2.7,0.7
27,210,2.5,0.5
27,240,2.7,0.6
27,465,4,0.9
28,28,1,0.2
28,56,1.3,0.2
28,98,3.2,0.7
28,140,3.6,0.7
28,180,4,0.6
28,210,3.9,0.6
28,240,4.4,0.6
28,465,5.7,1.2
29,28,1.2,0.2
29,56,1.6,0.3
29,98,2.1,0.5
29,140,2.6,0.9
29,180,3,0.4
29,210,3,0.4
29,465,5.8,0.8
30,28,0.1,0.1
30,56,0.1,0.2
30,140,1.2,0.2
30,365,1.5,0.3
31,14,0.1,0.1
31,28,0.2,0.2
31,56,0.4,0.4
31,140,1.3,0.5
31,310,1.6,0.7
31,365,1.8,0.6
32,28,0.2,0.2
32,56,0.2,0.3
32,140,1.7,0.4
32,310,2.3,0.8
32,365,2.2,0.5
33,14,0.1,0.2
33,28,0.1,0.1
33,56,0.2,0.2
33,140,1,0.2
33,310,2.1,0.7
33,365,1.6,0.4
34,28,0.2,0.1
34,56,0.1,0.2
34,140,1.2,0.2
34,310,1.4,0.3
34,365,1,0.4
35,14,0.2,0.3
35,28,0.6,0.6
35,56,1.3,0.5
35,140,1.9,0.4
35,310,3,1
35,365,3,0.9
36,14,0.1,0.1
36,28,0.3,0.3
36,56,0.5,0.2
36,140,1.3,0.2
36,310,2.4,0.7
36,365,2.7,0.4
37,14,0.1,0.3
37,28,0.2,0.3
37,56,0.8,0.2
37,140,1.7,0.4
37,310,2.4,0.7
38,28,0.7,0.2
38,56,1.9,0.3
38,140,3.6,0.6
38,310,5.3,0.8
38,365,5.7,0.5
39,21,0.7,0.2
39,56,0.8,0.3
39,98,1.1,0.7
39,119,1.7,0.6
39,140,1.7,0.4
39,365,3.2,0.8
40,21,1,0.4
40,56,2.6,0.4
40,98,2.9,0.5
40,119,2.7,0.5
40,140,2.6,0.6
41,21,1.5,0.7
41,56,3.2,0.7
41,98,4.3,0.7
41,119,4.5,0.7
41,140,5,0.7
42,21,2.1,0.5
42,56,3.4,0.8
42,98,5,0.7
42,119,4.7,0.4
42,140,4.8,0.5
43,21,2.8,0.6
43,56,3.5,0.7
43,98,5.5,0.5
43,119,5.2,0.5
43,140,5.3,0.5
44,21,0.7,0.2
44,56,1.5,0.4
44,98,2.4,0.4
44,119,2.5,0.3
44,140,2.8,0.6
45,21,0.9,0.3
45,56,1.9,0.5
45,98,2.7,0.4
45,119,3.1,0.7
45,140,3.5,0.6
45,365,6.3,1.2
46,21,1.1,0.5
46,56,1.9,0.7
46,98,2.6,0.4
46,119,3.2,0.7
46,140,3.5,0.6
46,365,6.3,1.1
47,21,1.2,0.4
47,56,2.3,0.4
47,98,2.9,0.5
47,119,4,0.6
47,140,4,0.6
47,365,7.2,1.2
48,21,0.6,0.3
48,56,1,0.4
48,98,1.8,0.4
48,119,2.2,0.4
48,140,2.1,0.2
48,365,4.3,0.5
49,21,0.8,0.3
49,56,1.6,0.5
49,98,2.6,0.5
49,119,3.1,0.4
49,140,2.9,0.4
49,365,5.5,0.7
50,21,0.6,0.2
50,56,1.1,0.4
50,98,1.8,0.5
50,119,2.3,0.4
50,140,2.6,0.6
50,365,4.3,0.7
51,21,0.7,0.5
51,56,1.4,0.6
51,98,2.1,0.5
51,119,2.9,0.4
51,140,2.9,0.5
51,365,5.8,1.1
52,21,1,0.5
52,56,1.6,0.8
52,98,2.1,0.4
52,119,2.8,0.5
52,140,3.2,0.6
53,21,0.8,0.4
53,56,2,0.4
53,98,2.5,0.5
53,119,2.9,0.5
53,140,3.6,0.6
53,365,6.6,1.2
54,21,0.7,0.5
54,56,1.7,0.6
54,98,2.3,0.5
54,119,3.2,0.4
54,140,2.9,0.5
54,365,5.3,1.2
55,21,1,0.4
55,56,1.9,0.5
55,98,2.8,0.4
55,119,3,0.6
55,140,3.4,0.5
55,365,6.2,1.4
56,21,0.6,0.3
56,56,1.1,0.5
56,98,1.5,0.5
56,119,1.9,0.5
56,140,2,0.6
57,21,0.8,0.3
57,56,1.3,0.3
57,98,2,0.3
57,119,2.7,0.3
57,140,2.7,0.4
58,14,10.3,
58,42,15,
58,140,22,
59,140,4.8,
59,235,5.5,
59,350,5.5,
59,532,6.8,
60,14,7,
60,42,10.3,
60,140,15.3,
61,140,2.5,
61,235,3.3,
61,350,3.8,
61,532,5,
62,14,3.8,
62,42,5.5,
62,140,10,
63,140,2.3,
63,235,3.3,
63,350,3.5,
63,532,4.5,
64,14,3.5,
64,42,5.5,
64,140,9,
65,14,6.5,
65,42,10,
65,140,16,
66,14,5,
66,42,7.8,
66,140,12.5,
67,14,0.3,0.3
67,28,0.2,0.2
67,56,0.8,0.2
67,140,1.2,0.5
67,280,2.7,0.8
67,547,3.5,0.9
68,14,0.2,0.2
68,28,0.4,0.2
68,56,0.4,0.2
68,140,1.2,0.2
68,280,2.4,0.7
68,547,2.8,0.8
69,14,0.2,0.1
69,28,0.4,0.2
69,56,0.3,0.2
69,140,1.6,0.5
69,280,2.7,0.9
70,14,0.2,0.1
70,28,1.1,0.3
70,56,1.1,0.6
70,140,2.5,0.7
70,280,3.7,0.9
71,28,0.3,0.1
71,56,0.3,0.2
71,140,1,0.2
71,280,1.1,0.5
72,14,0.2,0.2
72,28,0.5,0.4
72,56,0.6,0.6
72,140,1.9,0.6
72,280,2.5,0.5
72,547,3.2,0.7
73,56,0.5,0.3
73,140,1.7,0.3
73,280,2.5,0.5
73,547,3.5,0.5
74,28,0.7,0.3
74,56,0.6,0.5
74,98,1.2,0.3
74,140,1.5,0.4
74,210,2.2,0.5
74,240,2.2,0.2
75,28,0.7,0.3
75,56,0.6,0.5
75,98,2.1,0.3
75,140,2,0.5
75,210,2.5,0.5
75,240,2.7,0.6
75,465,4,0.9
76,28,1,0.2
76,56,1.3,0.2
76,98,3.2,0.7
76,140,3.6,0.7
76,210,3.9,0.6
76,240,4.4,0.6
76,465,5.7,1.2
77,28,1.2,0.2
77,56,1.6,0.3
77,98,2.1,0.5
77,140,2.6,0.9
77,210,3,0.4
77,465,5.8,0.8
78,28,0.1,0.1
78,56,0.1,0.2
78,140,1.2,0.2
78,365,1.5,0.3
79,14,0.1,0.1
79,28,0.2,0.2
79,56,0.4,0.4
79,140,1.3,0.5
79,310,1.6,0.7
79,365,1.8,0.6
80,28,0.2,0.2
80,56,0.2,0.3
80,140,1.7,0.4
80,310,2.3,0.8
80,365,2.2,0.5
81,14,0.1,
81,28,0.1,
81,56,0.2,
81,140,1,
81,310,2.1,
81,365,1.6,
82,28,0.2,
82,56,0.1,
82,140,1.2,
82,310,1.4,
82,365,1,
83,14,0.2,
83,28,0.6,
83,56,1.3,
83,140,1.9,
83,310,3,
83,365,3,
84,14,0.1,
84,28,0.3,
84,56,0.5,
84,140,1.3,
84,310,2.4,
84,365,2.7,
86,28,0.7,
86,56,1.9,
86,140,3.6,
86,310,5.3,
86,365,5.7,
87,21,0.7,0.2
87,56,0.8,0.3
87,98,1.1,0.7
87,119,1.7,0.6
87,140,1.7,0.4
87,365,3.2,0.8
88,21,1,0.4
88,56,2.6,0.4
88,98,2.9,0.5
88,119,2.7,0.5
88,140,1.7,0.4
88,365,3.2,0.8
89,14,10,
89,42,14.8,
89,140,20.8,
90,140,7.3,
90,235,9,
90,350,10,
90,532,11.8,
91,14,13.3,
91,42,19.5,
91,140,34,
92,14,5,
92,42,7.3,
92,140,11.3,
93,14,7,
93,42,11.5,
93,140,19.5,
94,14,4.8,
94,42,6,
94,140,10.3,
95,14,5.8,
95,42,10,
95,140,16.5,
96,28,0.5,
96,56,1.4,
96,90,2,
96,180,3.2,
97,28,1,
97,56,1.9,
97,90,3,
97,180,4.4,
98,28,1.7,
98,56,2.9,
98,90,3.8,
98,180,5.1,
99,42,2.1,
99,91,3.4,
99,180,5.7,
99,364,7.2,
100,42,0.7,
100,91,2.6,
100,180,4,
100,364,4.7,
101,42,2.8,
101,91,4.8,
101,180,7,
101,364,9,
102,42,1.3,
102,91,3.9,
102,180,5.5,
102,364,6.9,
103,28,2.7,0.5
103,56,3.6,0.6
104,28,2.1,0.6
104,56,3.6,0.5
105,28,3.4,0.6
105,56,5.5,0.7
106,140,3.3,
106,235,3.5,
106,350,4,
106,532,5.3,
107,140,2.5,
107,235,3.5,
107,350,3.8,
107,532,4,
108,14,5,
108,42,7.5,
108,140,11.3,
109,140,3.5,
109,235,4,
109,350,4.3,
109,532,5.3,
110,14,8,
110,42,10.8,
110,140,15.8,
111,14,2.3,
111,42,3.8,
111,140,6,
112,14,3.8,
112,42,5.5,
112,140,9.8,
113,14,2.3,
113,42,3.8,
113,140,6.5,
114,140,1.8,
114,235,2,
114,350,2,
114,532,2.8,
115,14,3.3,
115,42,5,
115,140,8.5,
116,140,1.3,
116,235,1.8,
116,350,1.5,
116,532,2.3,
117,14,5,
117,42,6.5,
117,140,10.5,
118,140,2.3,
118,235,3.5,
118,350,3.8,
118,532,4.8,
119,14,7,
119,42,10.3,
119,140,15.3,
120,14,2.3,
120,42,3.8,
120,140,7.3,
121,140,1.5,
121,235,1.5,
121,350,1.8,
121,532,2.3,
122,14,4.3,
122,42,6,
122,140,10,
123,14,2.3,
123,42,3.8,
123,140,5.5,
124,140,1,
124,235,1.5,
124,350,2,
124,532,2.3,
125,14,3,
125,42,5.8,
125,140,8.3,
126,14,8.8,
126,42,14.3,
126,140,22.3,
127,140,6.5,
127,235,6.8,
127,350,8.5,
127,532,10.3,
128,14,15,
128,42,23,
128,140,42,
129,14,5.8,
129,42,10,
129,140,16.3,
130,140,4.5,
130,235,5.5,
130,350,7,
130,532,9.3,
131,14,10.3,
131,42,16.5,
131,140,30.5,
132,14,5.8,
132,42,9,
132,140,16.8,
133,140,4,
133,235,6.3,
133,350,6.8,
133,532,7.8,
134,14,9.8,
134,42,13.5,
134,140,30.8,
135,14,7.8,
135,42,11.3,
135,140,18.5,
136,140,4.5,
136,235,5.8,
136,350,6,
136,532,8,
137,14,12,
137,42,18,
137,140,30.3,
138,14,4.5,
138,42,8,
138,140,12.5,
139,140,3.5,
139,235,4,
139,350,4.8,
139,532,5.5,
140,14,7,
140,42,11.3,
140,140,20.3,
141,140,2.8,
141,235,3.8,
141,350,4.8,
141,532,5.3,
142,14,6.5,
142,42,11,
142,140,20.3,
143,14,8.5,
143,42,13.8,
143,140,20.3,
144,140,5.3,
144,235,6.8,
144,350,7,
144,532,8.5,
145,14,13,
145,42,20,
145,140,33.3,
146,14,4.8,
146,42,7.5,
146,140,12.5,
147,140,3.3,
147,235,3.8,
147,350,4.8,
147,532,5.3,
148,14,6.5,
148,42,10.8,
148,140,18.8,
149,14,4,
149,42,6.3,
149,140,11.5,
150,140,2.8,
150,235,3,
150,350,4.5,
150,532,5.5,
151,14,6,
151,42,10,
151,140,17.8,
152,140,5,
152,235,5.8,
152,350,6.5,
152,532,7.8,
153,140,5,
153,235,5.8,
153,350,6.5,
153,532,7.8,